date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category
13-02-2026,30.41000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
12-02-2026,30.80000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
11-02-2026,30.96000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
10-02-2026,30.93000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
09-02-2026,30.70000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
06-02-2026,30.43000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
05-02-2026,30.42000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
04-02-2026,30.52000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
03-02-2026,30.42000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
02-02-2026,29.64000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
30-01-2026,29.86000,100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund
