date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category
13-02-2026,64.28500,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
12-02-2026,65.01800,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
11-02-2026,65.19800,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
10-02-2026,65.07200,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
09-02-2026,64.94300,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
06-02-2026,63.97400,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
05-02-2026,64.03500,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
04-02-2026,64.33500,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
03-02-2026,64.18600,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
02-02-2026,62.38000,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
30-01-2026,63.03500,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
29-01-2026,63.04100,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
28-01-2026,62.79200,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
27-01-2026,62.03600,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
23-01-2026,61.84400,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
22-01-2026,62.78400,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
21-01-2026,62.30000,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
20-01-2026,62.56900,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
19-01-2026,63.78400,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
16-01-2026,64.06300,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
14-01-2026,63.89400,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
13-01-2026,64.03200,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund
